D;E;F;G;BC;BD;BE;BF;BG;BH;BI;BJ;BK;CC;CB;CA;CD;CE;CF;CG;CY;CZ;DA;DB;DC;DD;DE;DF;DG;DH;HS;HT;HW;HX;IE;IF;IG;IH;JR;JS;JT;JU;JV;JW;JX;JY;JZ;KA;KB;KF;KG;KH;KI;KJ;KK;KL;KM;KN;KO;KX;KY;KZ;LA;LB;LQ;LR;LS;LT;LU;LV;LW;LX;LY;LZ;MA;MB;MC;MD;ME;MF;MG;MH;MI;MJ;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ
-221;-265;-102;-163;-405,5;-435,9;3;2;-32;-3;-25;-1;-3;-10;44;-33;-24;-44;0,4;-18,1;-8;-3;-132;-152;35;32;-8;22;43;10;-218;-48;-55;-18;-9;-11;-9;-7;-75;-38;-11;-61;-23;-57;33;-109;-38;14;-27;2;-1;0;-4;5;10;-2;1;1;8;20;5;-2;0;1;0,3;1;1,5;296;107;31;2778;-7;-674;195;144;-224;-38977;-1195;-1968;-4187;-6038;-1354;-4771;-5616;-5460;-8127;-803;-1676;679;-797;555;696;-742;-814;-132;1428;-56;-18,152;-14;9,9587
573;110;43;67;-359,1;-382,9;0;26;-10;1;2;-16;3;-25;176;65;-3;-36;-0,1;-20,7;-4;9;-143;-138;231;183;66;110;165;73;-349;160;-68;20;-4;-5;-12;-21;-36;-1;-8;-1;-6;18;2;-53;15;0;5;-2;-6;0;-10;-1;12;0;11;17;17;44;1;-10;-1;2;-0,6;1,7;2,7;171;250;398;4839;-1110;-69;140;277;-549;-48064;-1470;-2998;-8012;-5098;-6169;-5001;-5472;-7661;-5580;-8567;-3812;-1293;-2168;-40;-942;219;-1433;1798;-381;-133;24,8744;23;3,3842
-311;-479;-236;-243;-466,9;-488;0;6;-16;-1;-8;-5;-2;-68;-30;-86;-40;-32;1,6;-16,2;-7;-2;-166;-178;-37;-28;-10;5;-27;-33;-212;-16;-15;-11;-5;-9;0;2;-105;30;-1;-22;10;8;12;-76;6;0;11;1;-3;1;-7;-5;5;-1;4;3;2;7;-7;2;0;0;-2;-1,8;-2,4;178;58;-29;1656;-566;645;-91;35;-58;-19163;73;763;-1337;-2556;-191;-4763;-4642;-4838;-733;8045;-1615;-2168;2667;1336;3175;1970;-1235;509;3353;-34;4,5495;-36;4,3771
-1325;-1327;-536;-791;-404,5;-438,3;-9;-48;-74;2;-53;-25;2;-149;205;-128;-137;-195;0,4;-17,2;-52;-1;-451;-617;46;14;-17;91;63;-77;-1135;-158;-110;-29;-22;-18;-4;3;-298;159;51;13;10;28;65;-101;43;10;23;-1;-1;-4;-216;393;1;-1;-2;35;-4;92;14;1;0;5;1,3;1,7;1,9;1030;309;-558;7178;5206;-4867;827;-333;-253;-116084;-3451;-6543;-8787;-13142;-10865;-14891;-14247;-16672;-27208;-36294;-21627;-10171;-294;1355;2026;1065;-8677;11741;-10208;-97;11,1676;-47;1,8448
63;103;27;76;-415,7;-422,6;5;77;4;-1;-3;10;-2;-13;-6;79;-9;-23;-0,5;-18;1;3;-111;-109;154;160;64;128;90;32;-174;-32;-18;-8;-6;0;-5;-5;-37;-40;16;-107;-2;-55;-22;-128;-1;0;-17;0;-1;-7;-32;16;1;-3;-2;2;6;-8;-10;-1;0;1;-5,4;-1,6;-1,5;623;-31;308;2276;240;-747;474;57;-343;-17364;-1268;-1589;-3272;-72;742;-1832;-3214;-4078;-2078;-28659;-4658;-1727;-2373;-1965;-2639;-4829;-3273;-4580;-2250;-23;42,2053;4;2,5303
-45;-155;-66;-89;-383;-399,1;-163;17;-1;1;-3;0;1;-14;46;30;5;-57;0;-20,8;-1;-7;-54;-66;46;57;2;68;44;-11;-199;-50;-27;-6;-7;-6;-8;-9;-136;-39;-5;26;23;-6;5;-45;0;0;-12;2;2;-2;-4;-3;-6;2;-3;-11;-3;20;0;0;0;0;-3,7;2,2;0;-16;213;-148;2356;-757;688;93;-91;216;-12344;-525;-109;-1092;-945;-2513;-3210;-523;-1825;-2022;-6918;-2594;-419;-1706;1353;-996;-184;-1449;194;-753;-47;6,1895;-32;7,0246
-28;-172;-75;-97;-423,4;-464,6;-2;5;1;0;2;0;-1;-8;-11;-8;-5;-22;1,8;-18,1;-2;-4;-60;-91;15;6;6;8;9;-2;-123;-16;-4;-4;3;0;-2;-1;-41;-35;-13;-34;-4;-4;3;-54;0;0;-4;1;0;0;1;7;0;0;0;1;-2;-2;3;4;0;0;-7,1;-3,7;-0,5;53;19;-12;914;-589;122;10;59;-108;-6890;-766;-632;-695;440;-749;-1299;-1413;-1300;-310;205;-678;262;-183;-149;519;-165;401;171;67;-16;76,2;-8;19,5736
-40;-263;-115;-148;-387,2;-417,6;1;-2;-19;0;-14;4;-9;-36;51;-30;-33;-31;0,7;-19,9;-7;-4;-80;-70;-12;-22;2;20;-14;-42;-218;-94;-43;-8;-6;-6;2;0;-75;-9;-14;36;34;-8;1;-75;-2;-12;-9;0;2;-3;11;-16;4;-1;-9;2;7;28;-17;5;0;-1;-1;1,3;2,1;109;90;38;2062;-853;283;13;43;-224;-21326;22;-2493;-2090;-1870;-1933;-1997;-3895;-3222;-3096;-7659;-3353;-1582;-582;128;-741;-337;177;-400;-969;-79;44,7857;13;12,2342
-311;-440;-143;-297;-377,4;-395,9;5;-12;-18;-1;2;-10;-9;-57;148;53;5;-160;0,4;-18,9;-13;-15;-195;-263;159;144;13;104;146;40;-737;6;-46;-21;-7;-1;-8;10;-313;116;6;93;26;19;8;-43;-10;-4;-12;4;0;-1;-44;21;21;4;7;17;38;90;-2;-5;-1;-3;-1,8;0,4;0,6;268;96;290;4188;1811;-962;230;233;-260;-51765;-2510;-3064;-5687;-4177;-6708;-7676;-4039;-4923;-12587;4546;-5452;1291;202;1974;3024;-1405;-296;3987;734;-122;-61,8255;-64;10,2539
1890;1336;556;780;-360,9;-388,2;4;279;-183;2;-111;-49;-25;-290;2799;117;-153;-294;-1,7;-17,2;49;3;-555;-960;1339;1879;767;1083;572;796;-1902;199;-292;-50;-75;-72;12;11;-521;1075;-89;214;-99;-334;83;-295;-65;-13;-56;0;2;-16;-570;125;-55;10;-46;-1;40;244;-15;4;0;-12;1,2;2,4;2,6;4113;753;-331;19049;9391;-3913;907;1957;16;-203670;-6521;-25819;-15412;-15588;-7077;-26032;-30747;-37883;-39786;-47608;-51373;-11262;7774;9259;5743;-1688;-8746;8070;-4756;-511;28,5341;108;5,1087
-389;-292;-147;-145;-385,5;-403,7;-4;13;-15;-2;-8;-6;1;-26;16;38;-21;-71;1,2;-19,9;-7;1;-73;-100;13;24;11;14;2;10;-396;11;-38;1;-10;-14;1;-2;-169;-19;-15;-27;-7;-18;-3;-58;-14;0;-24;-1;-2;-1;-7;8;-10;1;-11;-6;6;47;1;0;0;0;-0,3;2,3;2,3;215;72;145;1514;366;278;97;87;-125;-17018;-258;-890;-3543;-1742;-1388;-3741;-1478;-3700;-164;-6371;-1972;-390;-3871;-1753;1094;-996;3058;-66;-1475;-58;9,1392;-14;3,2838
687;585;286;299;-340,9;-350;445;120;6;0;5;0;1;15;84;66;40;53;0,2;-22,5;-10;8;-21;-27;259;253;143;254;116;-1;213;123;6;14;3;1;2;5;161;90;37;14;16;-3;0;16;0;0;14;1;-4;0;1;-8;-3;-4;0;0;-1;36;0;-2;0;0;0;5,7;4,2;0;0;0;0;0;0;164;-14;-242;-500;0;-326;0;-382;0;-299;-116;-1146;343;0;0;0;0;0;0;0;0;0;0;0;0;8;6,3972
-181;-343;-159;-184;-410,8;-431,1;4;32;-2;1;-3;1;-1;-30;-2;-27;-36;-36;1,5;-19;-9;-9;-106;-121;-29;-4;-9;8;-20;-12;-160;-79;-6;4;-2;-7;-3;3;-92;41;26;3;2;-1;5;-60;3;1;-9;1;-1;0;-15;-17;1;2;-5;-1;1;27;0;5;0;-1;-4,9;1,8;2,7;47;49;-34;1654;-978;993;81;0;-111;-26266;-493;-904;-1548;-2232;-4292;-2816;-3424;-5330;-5382;-12333;-1515;-2057;-1038;-2273;-428;-2527;-574;-1940;19;-21;29,4138;-27;-1,5154
-160;-311;-149;-162;-441,8;-478,5;-2;-8;-19;-1;-11;-4;-3;-28;7;-17;-47;-44;0,8;-16,2;-9;-5;-116;-120;6;6;-6;23;12;-17;-243;-65;-34;-12;0;0;-5;-11;-68;-71;-34;1;20;-47;4;-108;-15;0;-16;0;5;0;-7;-19;-12;-5;-4;-13;11;18;1;-1;0;0;-1,4;2,3;1,2;79;22;47;1936;-619;19;25;24;-46;-19603;-268;-2416;-1465;-296;-2757;-2655;-2647;-2630;-4470;-8363;-1979;-2330;1074;-1016;301;454;-2861;-1765;-274;-60;-16,8064;-7;-3,7298
-203;-428;-209;-219;-453,5;-472,8;2;8;-5;2;-8;1;0;-53;41;-59;-36;-48;0,9;-17,2;-7;-3;-170;-154;-13;-28;-4;-6;-9;-22;-218;-60;-9;3;-2;-1;0;-5;-78;34;34;-50;-8;-51;-14;-83;-9;0;2;2;0;-1;-13;44;-13;1;-7;-1;2;6;8;-6;0;1;-0,9;1,9;1,9;384;50;-257;1671;-83;216;-25;30;-31;-22149;-380;-1422;-3384;762;-1921;-5406;-4643;-2762;-3022;-10309;216;-1189;-778;-1319;-1012;-2279;-3931;-1856;1839;-18;12,3768;14;6,9605
-71;-144;-66;-78;-407,3;-425,3;3;2;-1;0;0;-4;3;-14;0;-8;1;-28;1,6;-19;-5;-7;-29;-66;-3;13;0;6;-3;7;-104;-2;-8;-4;-2;-2;-3;-6;-56;-10;-11;-20;-8;0;1;-51;0;0;-14;0;-1;0;-2;0;6;0;0;0;0;-2;3;9;0;0;-1,7;1,6;-0,4;80;20;-44;592;-13;55;51;21;-35;-5854;0;-622;-306;245;-931;-613;-1288;-1246;-869;-3288;-1295;-589;-1670;879;954;940;-590;-1642;-705;-28;35,4628;-3;6,1449
-189;-432;-190;-242;-434,9;-457,2;3;-29;-17;0;-5;-5;-7;-25;18;-6;-42;-62;0,6;-18,1;-9;-2;-155;-169;10;-20;16;30;-6;-50;-286;-118;-7;-25;-8;-6;-3;2;-146;17;-8;-52;-5;-50;-17;-142;-15;0;-10;-1;1;0;-16;-73;-8;-1;-5;7;1;14;1;-6;0;-1;-4,4;0,2;0,5;-27;24;130;2241;-1184;646;129;-24;-345;-15242;-1658;-1632;-1897;317;-1440;-3380;-1694;-2533;-1962;-10337;-2171;478;-570;-971;-2217;101;-2754;-1102;-1527;-32;-12,8463;-14;0,2083
5766;5032;2851;2181;-341,2;-365,6;-15;661;-315;7;-212;-121;11;-455;5884;422;-128;-359;-1,7;-18,1;37;-54;-440;-1180;3527;3573;1703;2350;1824;1223;-2000;381;-675;-142;-113;-100;-18;-11;-159;2107;169;853;4;291;602;58;-208;5;-361;4;1;-25;-1048;12;11;57;-2;113;333;533;55;76;4;36;0,8;1,6;1,3;5226;687;279;35318;21343;-11501;4575;1256;869;-492769;-20615;-65168;-58641;-52191;-45727;-53414;-60372;-51737;-82589;-75184;-91101;-21922;-9341;21972;15044;-7000;5797;17165;-2666;-1275;22,3619;-53;6,6223
-91;-209;-88;-121;-406,8;-435,7;2;-9;-16;-1;-7;-4;-4;-22;-10;-8;-2;-33;2,5;-19,9;-6;-5;-70;-86;3;-13;-5;-5;8;-8;-127;-18;-17;-17;-8;-7;0;1;-62;-50;-25;-27;-4;-29;-10;-63;-13;0;-15;1;2;0;-4;-1;-5;0;-1;4;-2;10;-7;-10;0;0;-2,3;1,2;1,5;44;-4;-39;787;-400;396;17;22;-45;-6107;0;-16;100;-388;-620;-760;-1695;243;-2737;-33;71;-121;-145;336;126;-997;-569;1242;-82;-30;8,2778;-8;14,0419
-802;-1360;-665;-695;-409,4;-433,4;1;33;-78;-7;-38;-25;-8;-169;210;-99;-153;-211;0,7;-18,1;-32;-8;-446;-472;-27;12;-39;3;12;9;-1100;-224;-94;-69;-20;-16;-9;-11;-546;-87;-96;-118;-69;-34;23;-208;1;-8;-26;-2;-6;-2;-7;28;-8;-17;-10;4;5;-20;-34;-24;1;-2;-0,8;3,7;2,9;-218;148;-103;5778;1585;-564;281;-54;-71;-84652;-4068;-4631;-5144;-5978;-6482;-9662;-11369;-14148;-22241;-49884;-11262;-7443;-5139;-5173;-2440;-8206;-7444;1377;-3897;-187;3,3862;-23;13,5153
2692;2811;1407;1404;-346,5;-371,5;53;408;-70;-5;-10;-42;-13;11;1626;568;-6;1;-2,4;-19;29;38;-5;-179;1243;1485;496;818;747;667;-415;110;-145;-43;4;-5;-9;-21;291;723;124;341;59;142;183;198;1;56;22;2;-8;-9;-127;90;5;10;-4;17;42;201;17;60;-6;5;1,3;0,4;0,7;2305;446;-585;11630;3926;-1778;1563;191;-668;-71255;-3784;-3060;-10158;-7165;-4682;-7757;-15532;-15225;-4782;16650;-927;3246;-9170;12310;5281;-2847;2674;2262;4504;-305;19,2586;45;5,9783
1607;1347;600;747;-360,9;-380,6;133;209;-5;-2;0;1;-4;-26;625;333;90;-41;-0,7;-20,8;-22;21;-218;-422;813;1082;414;748;399;334;-288;170;-32;0;-33;-20;-7;4;57;149;-17;60;20;-77;51;-151;-27;13;-59;-1;7;-3;-61;-154;3;3;11;-23;41;178;1;1;-9;4;1,3;2,2;1,1;1653;276;415;9495;5914;-5284;1778;89;-439;-109711;-1759;-2469;-10161;-18562;-12145;-20575;-16898;-11902;-15591;-25165;-16613;-5344;724;-3949;-70;-1815;-1721;199;3412;-291;-60,6579;-21;10,9819
-128;-301;-149;-152;-432,6;-452,1;0;-16;-13;-3;-5;-3;-2;-28;6;-29;-18;-39;1,3;-17,2;-2;-9;-122;-115;6;25;6;9;0;16;-123;-48;-11;-19;-6;-7;-3;-4;-112;-57;-38;-81;-22;-3;23;-107;0;14;-25;0;0;0;-2;-1;6;-3;0;5;-1;-6;0;0;0;0;-2;1,9;1,7;103;28;-8;988;-299;95;44;27;-49;-13173;-37;-792;-1052;-949;-879;-3203;-2083;-4568;578;-3789;-1210;-2220;-412;-1378;-1924;4166;-1759;795;153;-29;-35,7361;-5;8,3297
-760;-913;-287;-626;-368,1;-393,9;5;-24;-81;-4;-56;-27;6;-133;576;-156;-140;-211;0,1;-18,1;-20;-6;-529;-749;366;237;98;203;268;34;-1223;0;-205;-44;-16;-24;-13;7;-362;-191;-64;-69;-22;-270;101;-583;-67;3;-144;2;2;16;-146;-63;-41;20;3;24;-36;232;9;-3;2;-7;-2,2;2,9;2,9;1983;330;1352;9375;1448;-1207;-1332;635;523;-202649;-8293;-19913;-22582;-17185;-17530;-21470;-31867;-29009;-32905;-104195;-48842;-28734;-10513;3843;-1675;-11121;-5188;-4554;2551;-250;-2,4197;30;9,5607
-291;-248;-113;-135;-375,7;-389;8;68;-25;-1;-10;-12;-2;-95;67;42;-67;-95;0,8;-20,8;-3;1;-192;-129;102;119;44;83;58;36;-538;-66;-54;-34;-4;-6;-4;-8;-155;86;-49;63;-7;-33;-9;-109;-22;-16;-4;1;-5;1;-2;-37;8;0;3;-1;8;39;3;29;0;2;-0,5;-1,7;0,5;-237;84;743;4975;-2051;2060;470;26;-355;-42840;-974;-1754;-1258;-2532;-6487;-7727;-5709;-5343;-10345;-9695;-7382;-3271;1385;1012;-1443;621;443;-1793;712;-159;0,9348;32;0,6417
1408;1261;599;662;-359,2;-377,1;1;77;-12;-1;-12;-13;14;17;613;364;9;-19;-1,6;-20,8;-8;0;-118;-189;755;879;311;475;444;404;-439;224;-182;32;-11;-4;10;14;75;294;8;102;-28;-13;-3;82;-34;-27;26;-4;-3;4;-8;-51;-40;1;-6;-5;13;81;8;28;2;-3;-0,3;1,4;4,7;1763;434;666;9477;4269;-5446;1036;521;-364;-98046;-3655;-4324;-7645;-13496;-9641;-17383;-13831;-9708;-17290;-22370;-8866;-6336;-2573;532;313;-9310;1293;975;1314;-235;19,0087;21;6,6916
-131;-272;-126;-146;-437,1;-473,2;1;-8;-22;-1;-17;-2;-2;-27;17;-45;7;-50;0,9;-17,1;-3;-1;-138;-163;29;44;11;44;18;0;-154;-41;-8;-21;-7;-7;-7;-3;-62;30;16;-40;-5;-28;-6;-119;-12;-12;-6;0;2;0;-25;-4;-12;-1;0;-14;8;7;-5;-6;0;-2;-5,5;0,4;-0,3;270;59;67;1954;-313;208;143;25;-259;-25856;-861;-2541;-2841;-154;-2380;-2970;-5796;-4156;-4285;-999;-4396;907;-475;1165;1277;996;-877;926;-316;-42;27,5371;-9;0,0798
-244;-483;-242;-241;-390,3;-415,1;-6;53;-38;-2;-17;-14;-5;-42;27;51;-74;-82;1;-18,1;-19;-20;-140;-233;-22;25;-28;14;6;11;-494;-120;-27;-56;-7;-6;-2;1;-178;-17;-35;-83;-10;-47;-1;-167;-37;-13;-44;0;6;0;7;-232;13;1;-1;4;10;34;-27;-11;-1;-7;-3,2;2,1;0,8;808;3;-24;4331;15;-1177;210;-26;-93;-16828;-2017;-2551;1443;-361;-1278;-4191;-6574;-2442;1245;-19995;-5658;-2000;-6986;-789;-343;-274;-2528;-495;-412;-90;8,7389;-12;-0,6677
-33;-123;-62;-61;-435,6;-458,3;0;4;1;0;5;-4;0;-16;7;-9;-15;-10;-0,5;-19;-1;-1;-45;-48;-2;2;-3;1;1;1;-72;-44;-5;-3;-3;-3;2;-1;-37;-22;0;-19;-12;-14;-3;-44;0;0;-26;1;-1;0;-7;-5;-3;1;-1;-6;-3;9;0;2;0;0;-0,3;-3,1;-0,6;54;8;-14;528;-196;188;10;31;-32;-9486;-320;-241;-1204;473;-873;-651;-2410;-2116;-2753;-2322;-16;469;-166;-141;-260;-770;-582;-1710;794;-8;36,9875;3;-4,9053
-36;-126;-83;-43;-369,6;-386;2;8;-11;-3;-2;1;-7;-29;42;23;-6;-40;0,6;-20,8;0;-6;-75;-94;24;66;-4;41;28;25;-191;-14;-22;-9;-20;-20;2;0;-59;85;-1;36;-15;5;13;-11;10;0;4;0;0;1;-13;-15;-17;0;-9;13;9;2;2;-10;1;-2;-0,5;2,4;1;212;33;-133;2138;-1089;747;91;82;-83;-22210;-1504;-3226;-750;-1993;-2222;-3606;-1302;-654;-6383;-4232;-1934;-449;-778;-1774;895;-41;-1890;2155;-501;-44;17,4577;-4;10,1174
-48;-124;-62;-62;-437,2;-463,8;-1;-4;-1;0;-6;5;0;-9;8;-10;-24;-3;1;-17,1;0;2;-48;-36;-6;-15;3;2;-9;-17;-68;-5;1;-6;6;5;0;-2;-15;-29;-2;-31;1;-2;5;-11;0;0;0;0;0;0;0;-15;-2;0;0;1;0;0;0;0;0;0;-0,2;-0,9;2,2;39;20;-18;775;-409;58;5;-2;-77;-8626;0;-272;-1534;-432;-1105;-1224;-607;-2024;-753;-2386;-1413;354;0;0;0;-286;279;-558;-212;0;8,5;-12;44,7362
-180;-255;-85;-170;-387;-405;-7;54;-40;-2;-18;-15;-5;-67;121;-20;-25;-50;0,1;-19;-15;-25;-111;-116;83;78;-8;57;91;21;-308;-74;-45;-33;-11;-6;3;8;-149;120;3;8;-5;31;-13;25;13;-7;35;1;1;-1;24;66;13;-5;9;-1;13;93;-5;-1;-1;0;1,3;1,6;-0,4;280;103;-527;1985;1964;-921;196;-30;-86;-34716;-1478;-2864;-2747;-4753;-5094;-2990;-3333;-5993;-4849;4206;352;1021;2428;-3628;1549;1528;1363;-877;37;-84;-17,2012;-36;6,2933
-156;-319;-130;-189;-421,3;-447,1;3;5;7;-1;-1;10;-1;-33;20;-7;-50;-35;2,6;-19;-4;2;-92;-110;3;-23;-5;11;8;-34;-208;-43;-19;-8;-7;-2;0;-2;-122;43;21;-7;-1;-6;4;-91;5;10;-5;-1;0;-1;5;14;14;2;2;8;13;16;8;-4;0;1;0;0,7;-0,6;-22;18;140;1709;-594;300;41;9;-76;-20588;-1638;-1405;-2652;-2731;-3015;-2458;-1560;-5528;551;-15091;-3147;-3137;24;-93;-600;-3465;-4052;-223;-337;-49;-5,5745;6;-8,1354
-82;-133;-70;-63;-432,5;-451,1;-1;11;0;-1;2;-1;0;-13;-16;3;-8;-23;1,6;-18;-6;-3;-68;-80;8;29;7;8;1;21;-111;1;-3;-5;-3;0;0;4;-43;-68;-19;-50;-8;-5;13;-77;-7;0;-12;-2;0;-1;3;-9;3;0;-2;-3;1;8;-5;-13;0;0;-0,1;1;3,5;23;8;42;1174;-398;135;4;62;-61;-11567;-886;-845;-1456;-633;-1584;-746;-1310;-3728;-126;-4828;207;1680;-1831;-385;-2201;-721;-1042;-123;-63;0;-8,2629;-10;-0,1554
-36;-39;-15;-24;-457,8;-478,4;-14;11;-10;0;-4;-4;-2;-3;17;-5;-4;-9;-0,2;-17,2;-7;4;-28;-24;4;7;9;18;-5;-11;-40;-9;4;-1;3;4;2;3;3;48;17;19;8;15;0;-8;0;0;-10;0;2;0;-4;-2;0;0;0;-1;-2;2;0;0;0;0;-2,9;5,5;1,1;87;-36;-38;469;59;12;8;-57;-34;-8450;-178;143;-173;-286;-1527;-206;-1700;-1994;-2333;-3921;-1149;202;-388;-1197;20;-565;-1164;-1152;0;9;37,2286;12;5,2013
-394;-691;-341;-350;-389;-406,1;2;-2;-42;-4;-33;-4;-1;-62;77;-72;-42;-103;1,5;-19;-19;-13;-302;-277;53;21;9;67;44;-46;-598;1;-40;-22;-3;3;-19;-16;-173;18;14;-25;1;-70;30;-293;-14;2;-52;-1;3;0;-25;-82;-11;2;4;-19;-28;33;-12;20;0;-1;-2,2;0,8;1,6;330;173;244;5547;-1666;-609;101;361;-457;-59956;-2861;-4957;-8230;-5931;-6988;-8445;-10681;-2261;-9347;-24685;-13514;-462;-4299;-2111;-1186;-4070;-1491;2869;-160;-68;3,219;30;4,647
-467;-1058;-497;-561;-385,2;-422,2;11;-1;-61;-2;-23;-33;-3;-79;81;-35;-61;-185;1,3;-19,9;-25;-4;-360;-380;-10;1;-19;34;9;-33;-1035;-14;-103;-21;-3;-4;-3;2;-346;192;43;34;-10;18;28;-187;21;28;-13;2;-1;0;-21;-28;-7;-2;-7;-14;-14;68;-7;-11;-1;2;1,6;2,6;2,8;199;249;243;7392;-2953;282;135;875;-1245;-44442;-2180;-5187;-6564;-4336;-4402;-5603;-5305;-6804;-4394;-11831;-9272;-3416;-2732;-762;597;-3665;5577;-2108;3881;-166;1,1279;29;-1,1754
298;311;110;201;-363,2;-386,1;-68;157;1;-1;-7;5;4;-9;164;113;1;2;-1,7;-21,7;1;-7;36;1;84;159;102;184;-18;-25;-118;65;-21;5;-2;2;-11;-7;72;83;67;111;47;43;30;108;21;12;46;1;0;0;-9;-25;3;-3;-13;-3;-4;36;27;9;7;-2;-1,2;0,2;0,2;323;-89;-5;4782;-1781;462;377;-26;-205;-9031;-400;-841;-907;346;-2272;-2926;-2280;969;-1026;10681;-880;673;-885;1910;1216;2079;2048;512;4102;-65;-37,2226;-7;6,0946
44;-44;-46;2;-361,1;-385,4;-3;-7;-16;1;-12;-9;4;-4;69;8;-35;0;-0,1;-21,7;1;-4;-34;-84;39;59;12;10;27;49;-144;4;-31;-20;-10;-8;-1;-1;-4;6;-14;11;-3;3;7;-63;-10;0;-23;0;-3;-3;-7;-15;-5;1;7;-1;1;28;-3;7;0;0;1,4;-0,4;0,5;120;53;22;2140;-943;425;86;-88;0;-12646;-835;-1039;-1852;-1938;-514;-2299;-1339;-3993;913;2426;-2254;-1547;475;-668;905;810;1678;1180;1847;-34;85,228;-1;2,1948
-95;-177;-94;-83;-446,5;-457,2;0;-3;-4;0;1;-4;-1;-16;-6;-10;-14;-25;1,7;-18,1;0;0;-65;-66;-26;3;-6;9;-20;-6;-160;22;-7;4;0;1;10;5;-42;50;23;-7;8;7;-2;-69;10;0;-9;0;-1;0;-2;-24;-7;-1;-4;-4;-1;5;-4;-8;0;0;-1;-0,2;-3,2;75;58;-93;985;-435;261;23;-39;-30;-12398;-506;-759;-997;-1019;-191;-1500;-2524;-2038;-3186;-1327;-520;231;-23;-1362;665;-489;-1375;2163;-547;-2;16,4487;-21;1,3806
-1008;-1051;-518;-533;-390,4;-417,8;-5;-137;-46;-4;-19;-21;-2;-74;153;-240;-118;-67;0,5;-17,2;-27;-23;-385;-438;-58;22;-52;48;-6;-26;-558;-69;-71;-23;-34;-33;-3;-5;-263;-136;-84;-143;-63;-408;-80;-445;-131;-32;-150;1;-3;6;-192;-185;-71;-5;7;-56;-70;115;4;-18;0;-3;-0,2;0,6;0;895;88;-377;3635;4782;-812;419;318;-802;-84174;-6831;-10712;-9622;-4628;-4266;-11443;-10173;-14201;-12072;-66514;-23610;-7078;-6720;-4311;-377;-14845;-2429;-3035;-3969;-154;9,4585;-13;6,5221
-330;-492;-234;-258;-457;-483,9;2;-1;-2;-5;3;3;-3;-32;30;-106;-41;-38;0,5;-16,2;-7;4;-181;-233;2;6;6;-8;-4;14;-278;-9;-13;-4;-6;-2;5;7;-79;-28;-29;-19;-16;-54;-16;-173;-6;-14;-31;0;1;-5;-50;-29;-26;0;-12;-16;-10;16;-2;-7;0;1;-2,3;-3;-4,4;-92;60;-152;2902;-886;419;-52;-384;118;-49114;-732;-2502;-3368;-867;-3825;-6768;-8500;-7487;-14570;-23443;-6741;-655;-2590;210;-3610;-2819;-6868;-669;557;-52;18,4011;-23;8,6615
-256;-309;-168;-141;-375,5;-396,4;-1;-6;-24;1;2;-14;-13;-38;26;32;-41;-64;0,7;-19,9;-14;1;-149;-163;38;77;10;44;28;33;-359;22;-46;-11;-9;-17;-3;-7;-148;2;14;-42;-7;-68;-3;-103;-23;0;-34;0;0;-1;2;-50;-12;-1;-7;-2;17;1;-6;-6;0;0;-5;-1,5;-1,7;390;47;191;2974;-1715;1891;113;323;-608;-35695;-2123;-3468;-2719;-4205;-3640;-6452;-7536;-4497;60;-22447;-6482;-2040;-3211;-1866;-1101;-2934;-3747;-23;-1040;-41;-3,9132;-23;10,3087
-177;-269;-126;-143;-428,1;-449,8;-275;27;-5;2;-2;-4;-1;-31;41;-29;-27;-55;0,9;-18,1;-5;7;-126;-176;30;62;39;51;-9;11;-305;18;-23;6;-8;-6;10;4;-89;66;20;15;4;30;8;6;8;-11;14;0;0;0;5;8;-87;-4;4;-1;-7;9;-6;7;0;0;-0,3;3;2;155;121;64;2926;-1877;2593;47;3;-246;-9891;-472;-195;-240;582;185;-3495;-898;-2039;-2608;-6406;-3897;-2428;-775;1468;-845;-1351;566;2436;-1644;-23;-20,3402;10;21,3771
1297;1289;663;626;-319,2;-335,5;-2;21;-53;-3;-20;-34;4;41;302;232;142;13;-0,5;-22,6;2;-12;17;-53;610;582;247;367;363;215;293;80;3;-18;3;-3;-4;-8;221;9;-15;29;3;-81;13;-154;-46;-3;-82;-1;2;0;-21;-97;-42;-4;1;-17;1;127;21;-9;4;-5;1;1,8;2,5;682;87;927;5457;-761;1201;175;302;-84;-53625;-308;-6771;-7077;-6498;-6959;-7280;-6380;-6859;-5078;-29533;-8863;-8075;-3115;-2189;-1723;-3270;-24;-3247;973;-50;44,1946;-52;5,1571
1376;1463;799;664;-352,8;-377,1;15;690;-51;-3;-4;-27;-17;-49;1265;203;-36;-52;-1,5;-18;20;-8;95;-162;744;739;157;330;587;409;-441;5;-87;-17;-28;-20;-28;-28;123;672;161;345;117;220;170;252;57;44;39;-1;-7;0;-48;61;-32;-6;-5;53;74;73;16;3;-7;6;0,7;1,6;1,3;1013;403;-291;8787;7611;-5934;896;7;-463;-72072;-3780;-5912;-10658;-2207;-11029;-12537;-13706;-8428;-2749;27671;-20411;7982;7191;6485;8562;-218;6219;5920;6399;-223;14,5509;16;6,1917
